SERIAL_NO|CARD_NO|GETON_YMD|GETON_TM|TRANSACTION_ID|TR_MEANS_TYPE|TRANSF_CNT|BUS_ROUTE_ID|BUS_CO_ID|BUS_CAR_ID|USR_TYPE|DRVN_START_YMD|DRVN_START_TM|GETON_BUS_STTN_ID|GETOFF_YMD|GETOFF_TM|GETOFF_BUS_STTN_ID|YSR_CNT|GETON_PAY|GETOFF_PAY|DRVR_ID|GETON_CALC_YMD|GETOFF_CALC_YMD|ETL_TYPE|ETL_DATE
377248|0000000661354057              |20220528|134857|015|675|0|30300058|130010004|130752263|1|20220528|051436|8002240|20220528|140154|8001528|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377250|0000000903409567              |20220528|143323|020|675|0|30300081|130010011|130759508|1|20220528|140706|8002088|20220528|144403|8003006|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377252|0000000904051368              |20220528|153144|025|675|0|30300101|130010002|130752309|1|20220528|144411|8001089|20220528|153606|8002559|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377254|0000000742453588              |20220528|161147|024|675|0|30300081|130010011|130759523|1|20220528|154322|8002088|20220528|162348|8003006|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377256|0000000657964092              |20220528|055548|011|675|0|30300046|130010002|130752324|1|20220528|053843|8001369|20220528|055853|8001081|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377258|0000000918258632              |20220528|080303|001|675|0|30300101|130010002|130752327|1|20220528|072352|8001089|20220528|080653|8002559|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377260|0000000701947892              |20220528|075358|020|674|0|30300100|130010002|130752345|1|20220528|065205|8001935|20220528|080924|8001028|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377574|0000000526435671              |20220528|184241|024|676|0|30300038|130010014|130753203|1|20220528|175148|8002779|20220528|184530|8002748|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377576|0000000530945279              |20220528|211746|002|676|0|30300087|130010008|130752159|4|20220528|204928|8002453|20220528|215541|8001242|1|750|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377578|0000000123257779              |20220528|090525|016|679|0|30300063|130010001|130759410|1|20220528|082327|8002456|20220528|092032|8001412|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377580|0000000101671132              |20220528|095610|022|675|0|30300065|130010004|130752242|1|20220528|060208|8002902|20220528|100322|8003012|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377582|0000000548360920              |20220528|114252|002|675|0|30300081|130010011|130759511|4|20220528|113349|8001553|20220528|120421|8002075|1|750|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377584|0000000528817789              |20220528|101527|005|676|0|30300093|130010004|130752214|1|20220528|092350|8002658|20220528|122311|8001560|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377586|0000000534149288              |20220528|122052|027|676|0|30300038|130010014|130753246|4|20220528|121137|8001500|20220528|124151|8005994|1|750|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377588|0000000531533788              |20220528|125829|023|674|0|30300100|130010002|130752509|4|20220528|122440|8002542|20220528|130025|8001028|1|750|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377590|0000000548192106              |20220528|132635|002|676|0|30300089|130010011|130759517|4|20220528|123035|8002531|20220528|135114|8002468|1|750|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377592|0000000548955313              |20220528|184329|006|674|0|30300100|130010002|130752503|2|20220528|173503|8001929|20220528|184752|8001715|1|350|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377594|0000000533817619              |20220528|193235|017|675|0|30300080|130010009|130759130|4|20220528|184128|8002063|20220528|193716|8001096|1|750|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377596|0000000163066662              |20220528|073755|009|675|0|30300064|130010015|130759683|1|20220528|071947|8001358|20220528|075155|8002484|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377598|0000000300724252              |20220528|145510|008|675|0|30300053|130010002|130752369|1|20220528|130924|8002119|20220528|151551|8002352|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377600|0000000546606193              |20220528|160303|008|676|0|30300043|130010015|130759690|4|20220528|150805|8001628|20220528|161226|8001919|1|750|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378007|0000000544632752              |20220528|170246|004|675|0|30300055|130010014|130753234|1|20220528|165348|8002764|20220528|172215|8002733|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378009|0000000542470885              |20220528|230407|015|675|0|30300064|130010015|130759642|1|20220528|063019|8002628|20220528|230607|8001414|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378011|0000000530228899              |20220528|100822|019|676|0|30300051|130010008|130752147|1|20220528|094810|8001369|20220528|105217|8002995|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378013|0000000275993370              |20220528|114056|018|675|0|30300055|130010014|130753263|1|20220528|094703|8001667|20220528|114232|8001538|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
